account_id,name,industry,employee_count,region,tech_stack_tags
ACC-0102,"Ingram, Hammond and Craig",Healthcare,8332,AMER,"Azure, Snowflake"
ACC-0103,Green-Velez,Telecommunications,9943,LATAM,"Spark, Kubernetes, Postgres, dbt"
ACC-0104,"Garrison, Greene and Gill",Media & Entertainment,7114,APAC,"Postgres, AWS, GCP"
ACC-0105,Phelps LLC,Gaming,2659,EMEA,"GCP, Azure, Kubernetes, Postgres"
ACC-0106,Liu PLC,Ad Tech,15598,APAC,"Spark, Airflow"
ACC-0107,"Marquez, Tran and Caldwell",Manufacturing,15077,AMER,"Kubernetes, Snowflake"
ACC-0108,Payne-Smith,Healthcare,18044,EMEA,"Kubernetes, Snowflake, Postgres, Airflow"
ACC-0109,Bryan and Sons,Financial Services,5636,APAC,"Azure, Snowflake, Postgres, AWS"
ACC-0110,Rowe Ltd,Telecommunications,10164,LATAM,"Postgres, Snowflake, Airflow, AWS"
ACC-0111,Gordon LLC,Telecommunications,2835,AMER,"dbt, Postgres, Airflow"
ACC-0112,Becker-Wells,Healthcare,7701,AMER,"Kafka, Snowflake, AWS"
ACC-0113,Banks-Spears,Gaming,14690,APAC,"Snowflake, AWS, Azure, Kubernetes"
ACC-0114,Shepherd-Long,Telecommunications,3189,LATAM,"Postgres, Spark"
ACC-0115,"Mcclain, Hoffman and Wilson",Healthcare,5469,APAC,"Spark, Kafka, dbt"
ACC-0116,Gilbert Inc,Gaming,1402,LATAM,"Airflow, Snowflake, Spark"
ACC-0117,Blake Inc,Logistics,3998,LATAM,"Kafka, Snowflake"
ACC-0118,Garcia-Perkins,Financial Services,6346,APAC,"AWS, dbt, Airflow, Kubernetes"
ACC-0119,"Vazquez, Gonzalez and Campbell",Manufacturing,18196,EMEA,"Airflow, Postgres, AWS, GCP"
ACC-0120,Murphy LLC,Financial Services,8041,EMEA,"Airflow, Postgres, GCP"
ACC-0121,Walters-Flores,Healthcare,7562,AMER,"dbt, AWS, Spark"
ACC-0122,Gill LLC,Manufacturing,16874,APAC,"GCP, Azure, Airflow"
ACC-0123,Fernandez-Pruitt,Telecommunications,18263,EMEA,"Airflow, Postgres, Kubernetes"
ACC-0124,Brown-Kaiser,Healthcare,9252,LATAM,"Kubernetes, dbt, Azure"
ACC-0125,Williams-Garcia,Manufacturing,9983,LATAM,"dbt, Snowflake, AWS"
ACC-0126,Williams LLC,Telecommunications,11509,APAC,"Airflow, dbt"
ACC-0127,Reese-Ross,Media & Entertainment,8025,LATAM,"dbt, Spark, Airflow, Azure"
ACC-0128,"Wood, Gilmore and West",Logistics,15698,LATAM,"Spark, AWS"
ACC-0129,"Farrell, Harris and Adams",Retail & E-commerce,16659,APAC,"Azure, Airflow, AWS"
ACC-0130,"Macdonald, Michael and Parker",Gaming,15172,AMER,"Airflow, GCP"
ACC-0131,Diaz-Fuller,Telecommunications,8884,APAC,"Azure, Spark, Postgres, AWS"
ACC-0132,"Griffin, Bender and Patel",Gaming,12652,APAC,"Spark, GCP, Kafka, Postgres"
ACC-0133,Romero LLC,Healthcare,7892,APAC,"Airflow, dbt, AWS, Snowflake"
ACC-0134,Hines and Sons,Healthcare,3493,LATAM,"GCP, Spark"
ACC-0135,Nelson-Mahoney,Financial Services,10829,AMER,"Snowflake, AWS"
ACC-0136,Barrera Inc,Retail & E-commerce,8201,LATAM,"Kafka, Postgres, Spark"
ACC-0137,"White, Simon and Mathews",Ad Tech,12735,EMEA,"Azure, Postgres, dbt, AWS"
ACC-0138,Michael-Smith,Telecommunications,8522,LATAM,"Postgres, Azure, Kubernetes"
ACC-0139,Adams-Bradley,Gaming,5376,AMER,"AWS, Airflow, Snowflake"
ACC-0140,Parker Ltd,Manufacturing,15169,APAC,"Kafka, Snowflake, Spark"
ACC-0141,"Charles, Johns and Pacheco",Healthcare,7972,LATAM,"Spark, Airflow"
ACC-0142,Jackson and Sons,Insurance,9194,AMER,"Kafka, Snowflake, dbt, AWS"
ACC-0143,Jones-Griffin,Media & Entertainment,11744,EMEA,"AWS, Airflow, Snowflake, Spark"
ACC-0144,Alexander PLC,Healthcare,1491,APAC,"Kubernetes, Snowflake, Azure, Kafka"
ACC-0145,Strong LLC,Healthcare,9870,APAC,"AWS, Kafka, Azure"
ACC-0146,Robinson PLC,Gaming,12188,APAC,"Spark, Azure, Kubernetes, GCP"
ACC-0147,"Blankenship, Davis and Fernandez",Manufacturing,11299,AMER,"Snowflake, Airflow"
ACC-0148,Conner-Parks,Insurance,18462,APAC,"GCP, Azure, Kubernetes"
ACC-0149,"Price, Johnson and Logan",Manufacturing,17782,AMER,"Spark, AWS"
ACC-0150,Winters-Gates,Logistics,3750,EMEA,"Kafka, Snowflake, Spark"
ACC-0151,Valencia Group,Ad Tech,7453,AMER,"AWS, dbt, Kafka"
ACC-0152,Conway-Coleman,Retail & E-commerce,1685,AMER,"Airflow, Snowflake, Spark, AWS"
ACC-0153,Olsen PLC,Media & Entertainment,17814,EMEA,"Airflow, GCP, dbt"
ACC-0154,"Henderson, Hicks and Smith",Ad Tech,5263,LATAM,"Airflow, Kafka, Spark"
ACC-0155,Tran Inc,Financial Services,12341,EMEA,"GCP, Airflow, Spark, Azure"
ACC-0156,Walker and Sons,Healthcare,12236,APAC,"Airflow, Kubernetes, Kafka"
ACC-0157,Jones-Smith,Media & Entertainment,4202,LATAM,"Spark, Snowflake"
ACC-0158,James-Owens,Financial Services,11128,EMEA,"Kubernetes, AWS"
ACC-0159,Williams and Sons,Healthcare,18360,EMEA,"Postgres, Kubernetes"
ACC-0160,"Garza, Sanchez and Mcbride",Retail & E-commerce,19729,AMER,"Kubernetes, Postgres, Kafka, Spark"
ACC-0161,Gibbs-Dominguez,Retail & E-commerce,3802,AMER,"Azure, Postgres, Snowflake"
ACC-0162,Hunter-Mccoy,Media & Entertainment,19495,APAC,"AWS, Kafka"
ACC-0163,Robinson-Jackson,Financial Services,4353,LATAM,"Azure, Snowflake"
ACC-0164,Nelson-Mcdonald,Logistics,17017,AMER,"GCP, Postgres, Airflow, Kubernetes"
ACC-0165,Peck-Velazquez,Gaming,10083,LATAM,"dbt, Kubernetes, AWS"
ACC-0166,Harris Ltd,Insurance,14168,AMER,"AWS, Postgres, Airflow, Spark"
ACC-0167,Williams-Blake,Logistics,5060,AMER,"Airflow, GCP, dbt"
ACC-0168,"Chavez, Sanders and Cook",Logistics,12681,APAC,"Snowflake, dbt"
ACC-0169,Smith LLC,Healthcare,18266,EMEA,"dbt, Spark, GCP"
ACC-0170,"Lutz, Lin and Glover",Logistics,15060,LATAM,"Airflow, Kubernetes, Spark"
ACC-0171,Green Inc,Logistics,8552,APAC,"GCP, Kafka, Spark"
ACC-0172,Vaughn-Cherry,Healthcare,2997,AMER,"Airflow, GCP"
ACC-0173,"Spears, Holloway and Kim",Gaming,2165,APAC,"GCP, Kafka, Azure"
ACC-0174,"Reynolds, Martinez and Pearson",Insurance,1885,APAC,"GCP, Spark, Kafka, dbt"
ACC-0175,Choi and Sons,Gaming,7171,EMEA,"Snowflake, Kafka, GCP, Postgres"
ACC-0176,"Ward, Rivera and Burns",Gaming,12244,AMER,"Airflow, Kubernetes, GCP, Azure"
ACC-0177,Villegas-Martinez,Gaming,18443,AMER,"Postgres, Kubernetes, Spark"
ACC-0178,Shelton-Sullivan,Manufacturing,11335,APAC,"Snowflake, AWS, Azure, Airflow"
ACC-0179,"Roberts, Lopez and Johnson",Ad Tech,13332,AMER,"Azure, Postgres"
ACC-0180,Braun LLC,Gaming,7249,LATAM,"AWS, GCP"
ACC-0181,Clark LLC,Logistics,10411,APAC,"Airflow, Kafka, Azure"
ACC-0182,Alvarez Ltd,Retail & E-commerce,1830,AMER,"Postgres, GCP, AWS, dbt"
ACC-0183,"Quinn, Ray and Jones",Ad Tech,14684,LATAM,"Airflow, Spark, Postgres"
ACC-0184,Hall-Goodman,Logistics,14287,AMER,"Kubernetes, dbt, GCP"
ACC-0185,Ochoa-Santiago,Financial Services,7425,LATAM,"Postgres, Airflow, Snowflake"
ACC-0186,Dawson Ltd,Media & Entertainment,4696,APAC,"AWS, Postgres, Kubernetes, Azure"
ACC-0187,Rivera Ltd,Telecommunications,14311,EMEA,"Kafka, GCP, AWS"
ACC-0188,Lambert-Haney,Media & Entertainment,16592,APAC,"Spark, dbt"
ACC-0189,Juarez-Walker,Insurance,814,LATAM,"Spark, AWS"
ACC-0190,"Hernandez, Rhodes and Baker",Ad Tech,13452,LATAM,"Kafka, Spark"
ACC-0191,Weber Inc,Logistics,5831,LATAM,"GCP, Spark, AWS"
ACC-0192,Graham and Sons,Healthcare,8172,LATAM,"Kafka, GCP, Spark, Airflow"
ACC-0193,Mcfarland Ltd,Manufacturing,11325,EMEA,"Spark, dbt, GCP, Kubernetes"
ACC-0194,King-Wells,Gaming,16910,EMEA,"Azure, GCP, dbt"
ACC-0195,Higgins PLC,Healthcare,4998,APAC,"Kafka, Azure, Kubernetes"
ACC-0196,Welch-Johnson,Healthcare,6004,LATAM,"Azure, Postgres"
ACC-0197,Rodriguez-Ross,Logistics,5146,LATAM,"Postgres, Airflow, Kafka"
ACC-0198,Taylor Inc,Manufacturing,9200,AMER,"Airflow, Postgres"
ACC-0199,Gibson Inc,Telecommunications,15008,AMER,"dbt, GCP, Snowflake"
ACC-0200,"Rivera, Watkins and Miller",Healthcare,3158,LATAM,"Kafka, Snowflake"
