activity_id,opportunity_id,se_id,activity_type,activity_date,notes
ACT-0036,OPP-0074,SE-042,Technical Demo,2026-04-03,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0037,OPP-0211,SE-017,POC Check-in,2026-06-02,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0038,OPP-0306,SE-013,Technical Demo,2026-06-17,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0039,OPP-0322,SE-021,RFP Work,2026-06-21,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0040,OPP-0003,SE-037,POC Check-in,2026-03-22,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0041,OPP-0061,SE-035,Technical Demo,2026-05-02,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0042,OPP-0277,SE-034,Discovery Call,2026-07-08,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0043,OPP-0321,SE-015,Technical Demo,2026-03-26,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0044,OPP-0100,SE-009,POC Check-in,2026-04-19,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0045,OPP-0255,SE-013,Technical Demo,2026-07-05,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0046,OPP-0028,SE-025,Technical Demo,2026-07-12,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0047,OPP-0223,SE-018,POC Check-in,2026-05-10,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0048,OPP-0023,SE-008,POC Check-in,2026-03-16,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0049,OPP-0081,SE-003,Discovery Call,2026-05-27,Discussed current PipelineOps stack and pain points around scaling data pipelines.
ACT-0050,OPP-0037,SE-017,RFP Work,2026-06-04,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0051,OPP-0215,SE-014,RFP Work,2026-06-03,Drafted responses covering ModelServe security and compliance questions.
ACT-0052,OPP-0057,SE-022,POC Check-in,2026-06-05,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0053,OPP-0122,SE-028,Technical Demo,2026-03-22,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0054,OPP-0113,SE-006,Technical Demo,2026-06-09,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0055,OPP-0028,SE-029,RFP Work,2026-07-02,Drafted responses covering Governance Suite security and compliance questions.
ACT-0056,OPP-0313,SE-031,Technical Demo,2026-05-18,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0057,OPP-0192,SE-010,Technical Demo,2026-04-27,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0058,OPP-0324,SE-024,RFP Work,2026-06-16,Drafted responses covering PipelineOps security and compliance questions.
ACT-0059,OPP-0172,SE-010,POC Check-in,2026-06-26,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0060,OPP-0144,SE-010,Discovery Call,2026-03-18,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0061,OPP-0235,SE-028,Discovery Call,2026-06-03,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0062,OPP-0113,SE-020,Technical Demo,2026-06-16,Walked through ModelServe integration and answered questions on governance controls.
ACT-0063,OPP-0327,SE-041,Internal Sync,2026-05-18,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0064,OPP-0045,SE-028,Technical Demo,2026-05-21,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0065,OPP-0111,SE-039,Internal Sync,2026-06-17,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0066,OPP-0143,SE-002,RFP Work,2026-05-20,Drafted responses covering Governance Suite security and compliance questions.
ACT-0067,OPP-0127,SE-022,RFP Work,2026-04-14,Drafted responses covering PipelineOps security and compliance questions.
ACT-0068,OPP-0303,SE-011,RFP Work,2026-04-21,Drafted responses covering PipelineOps security and compliance questions.
ACT-0069,OPP-0214,SE-004,Internal Sync,2026-04-28,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0070,OPP-0259,SE-004,Discovery Call,2026-06-21,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0071,OPP-0246,SE-008,RFP Work,2026-04-09,Drafted responses covering Governance Suite security and compliance questions.
ACT-0072,OPP-0124,SE-007,RFP Work,2026-06-20,Drafted responses covering Governance Suite security and compliance questions.
ACT-0073,OPP-0209,SE-015,Internal Sync,2026-04-22,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0074,OPP-0152,SE-017,Technical Demo,2026-04-29,Walked through ModelServe integration and answered questions on governance controls.
ACT-0075,OPP-0246,SE-021,Discovery Call,2026-05-28,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0076,OPP-0293,SE-039,Technical Demo,2026-04-15,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0077,OPP-0238,SE-010,Discovery Call,2026-07-14,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0078,OPP-0190,SE-042,RFP Work,2026-05-18,Drafted responses covering PipelineOps security and compliance questions.
ACT-0079,OPP-0322,SE-006,RFP Work,2026-06-08,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0080,OPP-0272,SE-004,RFP Work,2026-06-01,Drafted responses covering ModelServe security and compliance questions.
ACT-0081,OPP-0139,SE-041,POC Check-in,2026-05-20,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0082,OPP-0042,SE-041,Internal Sync,2026-06-07,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0083,OPP-0264,SE-025,POC Check-in,2026-05-15,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0084,OPP-0197,SE-025,Discovery Call,2026-05-09,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0085,OPP-0188,SE-025,RFP Work,2026-04-07,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0086,OPP-0288,SE-015,Technical Demo,2026-05-22,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0087,OPP-0123,SE-036,Technical Demo,2026-05-24,Walked through ModelServe integration and answered questions on governance controls.
ACT-0088,OPP-0298,SE-015,Discovery Call,2026-05-18,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0089,OPP-0181,SE-019,Technical Demo,2026-06-05,Walked through ModelServe integration and answered questions on governance controls.
ACT-0090,OPP-0142,SE-005,Internal Sync,2026-04-28,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0091,OPP-0177,SE-030,Discovery Call,2026-04-20,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0092,OPP-0241,SE-036,RFP Work,2026-06-28,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0093,OPP-0232,SE-041,Internal Sync,2026-06-12,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0094,OPP-0097,SE-031,POC Check-in,2026-06-19,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0095,OPP-0201,SE-013,Discovery Call,2026-04-05,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0096,OPP-0056,SE-012,POC Check-in,2026-04-28,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0097,OPP-0076,SE-033,POC Check-in,2026-05-03,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0098,OPP-0267,SE-042,Technical Demo,2026-05-19,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0099,OPP-0214,SE-036,Discovery Call,2026-04-05,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0100,OPP-0178,SE-028,Technical Demo,2026-04-25,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0101,OPP-0150,SE-014,RFP Work,2026-06-06,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0102,OPP-0119,SE-035,Discovery Call,2026-06-28,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0103,OPP-0297,SE-023,POC Check-in,2026-05-29,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0104,OPP-0304,SE-035,POC Check-in,2026-04-22,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0105,OPP-0235,SE-021,Internal Sync,2026-07-11,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0106,OPP-0157,SE-012,Internal Sync,2026-07-14,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0107,OPP-0248,SE-025,POC Check-in,2026-06-02,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0108,OPP-0076,SE-024,POC Check-in,2026-06-19,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0109,OPP-0086,SE-041,POC Check-in,2026-06-09,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0110,OPP-0094,SE-013,Technical Demo,2026-04-28,Walked through ModelServe integration and answered questions on governance controls.
ACT-0111,OPP-0122,SE-009,Technical Demo,2026-06-03,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0112,OPP-0295,SE-010,Discovery Call,2026-05-30,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0113,OPP-0190,SE-013,RFP Work,2026-05-25,Drafted responses covering ModelServe security and compliance questions.
ACT-0114,OPP-0341,SE-022,Technical Demo,2026-04-21,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0115,OPP-0191,SE-030,POC Check-in,2026-07-13,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0116,OPP-0274,SE-021,Internal Sync,2026-03-29,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0117,OPP-0208,SE-033,Discovery Call,2026-06-17,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0118,OPP-0164,SE-011,Technical Demo,2026-04-20,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0119,OPP-0332,SE-020,Discovery Call,2026-06-24,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0120,OPP-0294,SE-011,RFP Work,2026-06-14,Drafted responses covering ModelServe security and compliance questions.
ACT-0121,OPP-0174,SE-009,Internal Sync,2026-04-29,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0122,OPP-0072,SE-037,RFP Work,2026-06-04,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0123,OPP-0013,SE-027,Discovery Call,2026-06-21,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0124,OPP-0229,SE-024,Internal Sync,2026-06-15,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0125,OPP-0029,SE-040,Discovery Call,2026-04-02,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0126,OPP-0143,SE-014,Technical Demo,2026-07-15,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0127,OPP-0276,SE-030,Discovery Call,2026-05-11,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0128,OPP-0100,SE-033,Discovery Call,2026-03-21,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0129,OPP-0342,SE-025,POC Check-in,2026-07-14,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0130,OPP-0219,SE-025,RFP Work,2026-04-23,Drafted responses covering PipelineOps security and compliance questions.
ACT-0131,OPP-0007,SE-020,RFP Work,2026-04-20,Drafted responses covering ModelServe security and compliance questions.
ACT-0132,OPP-0158,SE-030,POC Check-in,2026-07-10,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0133,OPP-0111,SE-030,Internal Sync,2026-05-28,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0134,OPP-0148,SE-012,RFP Work,2026-04-29,Drafted responses covering Governance Suite security and compliance questions.
ACT-0135,OPP-0072,SE-039,RFP Work,2026-06-11,Drafted responses covering Governance Suite security and compliance questions.
ACT-0136,OPP-0074,SE-015,Internal Sync,2026-05-12,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0137,OPP-0269,SE-023,POC Check-in,2026-05-28,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0138,OPP-0046,SE-002,Discovery Call,2026-04-13,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0139,OPP-0213,SE-013,RFP Work,2026-04-01,Drafted responses covering ModelServe security and compliance questions.
ACT-0140,OPP-0291,SE-010,Internal Sync,2026-05-25,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0141,OPP-0196,SE-020,Technical Demo,2026-04-18,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0142,OPP-0022,SE-021,Internal Sync,2026-06-23,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0143,OPP-0253,SE-037,Internal Sync,2026-05-17,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0144,OPP-0014,SE-002,RFP Work,2026-05-19,Drafted responses covering PipelineOps security and compliance questions.
ACT-0145,OPP-0154,SE-042,Technical Demo,2026-06-28,Walked through ModelServe integration and answered questions on governance controls.
ACT-0146,OPP-0335,SE-020,RFP Work,2026-07-14,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0147,OPP-0252,SE-017,RFP Work,2026-03-30,Drafted responses covering PipelineOps security and compliance questions.
ACT-0148,OPP-0142,SE-033,Discovery Call,2026-05-12,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0149,OPP-0298,SE-032,Discovery Call,2026-05-27,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0150,OPP-0133,SE-042,Internal Sync,2026-06-10,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0151,OPP-0192,SE-034,RFP Work,2026-03-28,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0152,OPP-0133,SE-012,Internal Sync,2026-04-16,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0153,OPP-0075,SE-022,Internal Sync,2026-04-01,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0154,OPP-0183,SE-012,RFP Work,2026-04-20,Drafted responses covering PipelineOps security and compliance questions.
ACT-0155,OPP-0185,SE-028,Discovery Call,2026-04-05,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0156,OPP-0149,SE-020,POC Check-in,2026-06-27,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0157,OPP-0264,SE-014,Internal Sync,2026-04-18,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0158,OPP-0307,SE-012,Technical Demo,2026-06-21,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0159,OPP-0162,SE-021,Internal Sync,2026-03-30,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0160,OPP-0050,SE-036,POC Check-in,2026-06-21,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0161,OPP-0074,SE-002,Internal Sync,2026-06-17,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0162,OPP-0191,SE-033,Technical Demo,2026-06-27,Walked through ModelServe integration and answered questions on governance controls.
ACT-0163,OPP-0084,SE-008,RFP Work,2026-05-05,Drafted responses covering ModelServe security and compliance questions.
ACT-0164,OPP-0258,SE-016,Technical Demo,2026-04-07,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0165,OPP-0214,SE-031,Technical Demo,2026-07-09,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0166,OPP-0068,SE-003,Discovery Call,2026-03-19,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0167,OPP-0160,SE-025,RFP Work,2026-05-11,Drafted responses covering ModelServe security and compliance questions.
ACT-0168,OPP-0306,SE-035,Technical Demo,2026-07-04,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0169,OPP-0156,SE-003,POC Check-in,2026-03-26,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0170,OPP-0066,SE-011,Discovery Call,2026-05-12,Discussed current PipelineOps stack and pain points around scaling data pipelines.
ACT-0171,OPP-0065,SE-015,Technical Demo,2026-06-15,Walked through ModelServe integration and answered questions on governance controls.
ACT-0172,OPP-0218,SE-009,Technical Demo,2026-06-10,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0173,OPP-0248,SE-029,Discovery Call,2026-04-28,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0174,OPP-0056,SE-004,Discovery Call,2026-04-24,Discussed current PipelineOps stack and pain points around scaling data pipelines.
ACT-0175,OPP-0241,SE-009,Internal Sync,2026-07-06,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0176,OPP-0034,SE-021,POC Check-in,2026-04-10,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0177,OPP-0064,SE-040,Discovery Call,2026-06-24,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0178,OPP-0095,SE-024,Technical Demo,2026-03-19,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0179,OPP-0075,SE-019,Discovery Call,2026-04-13,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0180,OPP-0181,SE-012,Internal Sync,2026-06-17,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0181,OPP-0259,SE-038,Internal Sync,2026-04-24,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0182,OPP-0297,SE-002,Discovery Call,2026-03-16,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0183,OPP-0099,SE-020,Internal Sync,2026-07-11,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0184,OPP-0051,SE-015,Technical Demo,2026-04-13,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0185,OPP-0188,SE-039,Internal Sync,2026-07-04,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0186,OPP-0345,SE-008,Technical Demo,2026-04-11,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0187,OPP-0195,SE-029,Technical Demo,2026-06-22,Walked through ModelServe integration and answered questions on governance controls.
ACT-0188,OPP-0209,SE-009,Technical Demo,2026-04-15,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0189,OPP-0239,SE-009,POC Check-in,2026-06-04,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0190,OPP-0254,SE-025,Internal Sync,2026-04-09,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0191,OPP-0043,SE-022,POC Check-in,2026-04-15,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0192,OPP-0198,SE-020,RFP Work,2026-03-29,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0193,OPP-0228,SE-016,RFP Work,2026-05-25,Drafted responses covering ModelServe security and compliance questions.
ACT-0194,OPP-0149,SE-029,Internal Sync,2026-05-20,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0195,OPP-0244,SE-025,Technical Demo,2026-04-03,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0196,OPP-0346,SE-033,Technical Demo,2026-06-14,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0197,OPP-0225,SE-035,Discovery Call,2026-06-22,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0198,OPP-0074,SE-027,Discovery Call,2026-06-14,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0199,OPP-0087,SE-006,RFP Work,2026-06-24,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0200,OPP-0174,SE-014,POC Check-in,2026-06-20,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0201,OPP-0063,SE-016,Internal Sync,2026-05-12,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0202,OPP-0143,SE-039,RFP Work,2026-04-22,Drafted responses covering Governance Suite security and compliance questions.
ACT-0203,OPP-0330,SE-027,Internal Sync,2026-05-13,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0204,OPP-0342,SE-040,POC Check-in,2026-04-18,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0205,OPP-0262,SE-019,RFP Work,2026-06-23,Drafted responses covering Governance Suite security and compliance questions.
ACT-0206,OPP-0056,SE-009,Technical Demo,2026-06-10,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0207,OPP-0255,SE-016,POC Check-in,2026-05-21,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0208,OPP-0051,SE-005,Technical Demo,2026-06-08,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0209,OPP-0348,SE-003,Discovery Call,2026-07-02,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0210,OPP-0310,SE-022,Technical Demo,2026-04-10,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0211,OPP-0319,SE-041,Technical Demo,2026-04-14,Walked through ModelServe integration and answered questions on governance controls.
ACT-0212,OPP-0339,SE-035,Discovery Call,2026-04-18,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0213,OPP-0104,SE-020,RFP Work,2026-05-09,Drafted responses covering Governance Suite security and compliance questions.
ACT-0214,OPP-0259,SE-018,RFP Work,2026-04-16,Drafted responses covering Governance Suite security and compliance questions.
ACT-0215,OPP-0277,SE-036,Internal Sync,2026-04-06,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0216,OPP-0221,SE-009,Discovery Call,2026-04-10,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0217,OPP-0162,SE-026,RFP Work,2026-05-02,Drafted responses covering Governance Suite security and compliance questions.
ACT-0218,OPP-0019,SE-004,RFP Work,2026-06-10,Drafted responses covering Governance Suite security and compliance questions.
ACT-0219,OPP-0085,SE-033,Technical Demo,2026-05-12,Walked through ModelServe integration and answered questions on governance controls.
ACT-0220,OPP-0160,SE-026,RFP Work,2026-04-05,Drafted responses covering PipelineOps security and compliance questions.
ACT-0221,OPP-0292,SE-033,RFP Work,2026-04-14,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0222,OPP-0244,SE-037,Internal Sync,2026-06-14,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0223,OPP-0201,SE-018,Technical Demo,2026-04-23,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0224,OPP-0316,SE-024,RFP Work,2026-05-11,Drafted responses covering Governance Suite security and compliance questions.
ACT-0225,OPP-0032,SE-003,POC Check-in,2026-04-26,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0226,OPP-0066,SE-025,Internal Sync,2026-05-30,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0227,OPP-0321,SE-023,POC Check-in,2026-04-27,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0228,OPP-0220,SE-024,RFP Work,2026-04-25,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0229,OPP-0180,SE-005,POC Check-in,2026-04-28,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0230,OPP-0121,SE-021,Technical Demo,2026-04-01,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0231,OPP-0034,SE-021,Internal Sync,2026-05-26,Synced with AE on deal strategy and next steps involving Lakehouse Core.
ACT-0232,OPP-0087,SE-003,Discovery Call,2026-05-20,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0233,OPP-0020,SE-031,Internal Sync,2026-03-25,Synced with AE on deal strategy and next steps involving ModelServe.
ACT-0234,OPP-0137,SE-003,RFP Work,2026-04-23,Drafted responses covering Governance Suite security and compliance questions.
ACT-0235,OPP-0163,SE-026,RFP Work,2026-04-25,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0236,OPP-0166,SE-038,Internal Sync,2026-06-30,Synced with AE on deal strategy and next steps involving Governance Suite.
ACT-0237,OPP-0052,SE-015,Discovery Call,2026-05-04,Discussed current Governance Suite stack and pain points around scaling data pipelines.
